"COUNTRY" "NUTS_ID" "YEAR" "CASES" "AVG_2003_2010" "STD_ANOMALY" "WNV_before"
"Austria" "AT112" 2016 1 15.93952637498 -0.406629658842496 "NR"
"Austria" "AT112" 2017 0 15.93952637498 0.265870376381119 "1"
"Austria" "AT112" 2018 0 15.93952637498 2.07648897715429 "0"
"Austria" "AT112" 2019 0 15.93952637498 -0.575859658420299 "0"
"Austria" "AT124" 2018 1 12.9073004419125 2.29710869707105 "NR"
"Austria" "AT124" 2019 0 12.9073004419125 -0.212902077575637 "1"
"Austria" "AT126" 2015 1 15.5628642693844 -0.327321831428282 "NR"
"Austria" "AT126" 2016 2 15.5628642693844 -0.759293596342653 "1"
"Austria" "AT126" 2017 3 15.5628642693844 0.00345253909703005 "1"
"Austria" "AT126" 2018 3 15.5628642693844 2.43106753758352 "1"
"Austria" "AT126" 2019 2 15.5628642693844 -0.492519642828727 "1"
"Austria" "AT127" 2017 1 15.3553955887802 0.191898509371949 "NR"
"Austria" "AT127" 2018 5 15.3553955887802 2.1374630999996 "1"
"Austria" "AT127" 2019 1 15.3553955887802 -0.706820822615108 "1"
"Austria" "AT130" 2014 1 15.895529988186 -0.065437112579932 "NR"
"Austria" "AT130" 2015 2 15.895529988186 -0.178650605261638 "1"
"Austria" "AT130" 2016 2 15.895529988186 -0.577588741235203 "1"
"Austria" "AT130" 2017 0 15.895529988186 0.0831053044909843 "1"
"Austria" "AT130" 2018 10 15.895529988186 1.86724197859257 "0"
"Austria" "AT130" 2019 1 15.895529988186 -0.51301051930529 "1"
"Bulgaria" "BG311" 2018 1 16.0897999176706 2.531727254627 "NR"
"Bulgaria" "BG311" 2019 0 16.0897999176706 -0.579822676734419 "1"
"Bulgaria" "BG312" 2019 2 16.5378586698659 -0.407940096988786 "NR"
"Bulgaria" "BG341" 2012 2 15.8309341584755 2.31379935375845 "NR"
"Bulgaria" "BG341" 2013 0 15.8309341584755 4.15819587352919 "1"
"Bulgaria" "BG341" 2014 0 15.8309341584755 -0.498292479567632 "0"
"Bulgaria" "BG341" 2015 0 15.8309341584755 0.170872769496656 "0"
"Bulgaria" "BG341" 2016 0 15.8309341584755 0.0282697568650573 "0"
"Bulgaria" "BG341" 2017 0 15.8309341584755 -0.554655408524548 "0"
"Bulgaria" "BG341" 2018 2 15.8309341584755 3.73289563129203 "0"
"Bulgaria" "BG341" 2019 1 15.8309341584755 -1.53289843795984 "1"
"Bulgaria" "BG411" 2016 1 15.0453225830548 -0.695183652660749 "NR"
"Bulgaria" "BG411" 2017 0 15.0453225830548 0.791640993863721 "1"
"Bulgaria" "BG411" 2018 2 15.0453225830548 3.21380906479647 "0"
"Bulgaria" "BG411" 2019 1 15.0453225830548 -0.755135659170435 "1"
"Bulgaria" "BG421" 2018 1 16.4330191533436 3.86181622467712 "NR"
"Bulgaria" "BG421" 2019 0 16.4330191533436 -0.789987798739633 "1"
"Croatia" "HR041" 2017 2 15.9350669591599 0.312348045751982 "NR"
"Croatia" "HR041" 2018 6 15.9350669591599 1.45231429524723 "1"
"Croatia" "HR041" 2019 0 15.9350669591599 -0.741823068332114 "1"
